PK_INDUSTRIA;FK_SECTOR;INDUSTRIA
1;3;ADMINISTRACIÓN DE EMPRESAS
2;3;ADMINISTRACIÓN PÚBLICA
3;1;AGRICULTURA, GANADERÍA, CAZA Y PESCA
4;3;ALOJAMIENTO Y SERVICIOS DE COMIDA
5;3;ARTE, ENTRETENIMIENTO Y RECREACIÓN
6;3;COMERCIO MAYORISTA
7;3;COMERCIO MINORISTA
8;2;CONSTRUCCIÓN
9;3;EDUCACIÓN
10;3;FINANZAS Y SEGUROS
11;3;INFORMACIÓN
12;3;INMOBILIARIO, ALQUILER Y ARRENDAMIENTO
13;2;MANUFACTURACIÓN
14;1;MINERÍA Y EXTRACCIÓN
15;3;OTROS SERVICIOS
16;3;SALUD Y ASISTENCIA SOCIAL
17;3;SERVICIOS DE ADMINISTRACIÓN Y APOYO
18;3;SERVICIOS DE GESTIÓN DE DESECHOS Y REMEDIACIÓN
19;3;SERVICIOS PROFESIONALES
20;3;SERVICIOS PÚBLICOS
21;3;TRANSPORTE Y ALMACENAMIENTO
